path,mtime,words,heading_1,heading_2,heading_3,heading_4,heading_5
docs/CI.md,2025-09-20 08:58:23,52,CI Guardrails,,,,
docs/CLEANUP_REPORT.md,2025-09-29 23:25:27,150,General Cleanup Report (SAFE — untracked only),Git status,fix/surgical-cleanup...origin/Test,Largest files/dirs (top 50 by size; informative only),Untracked files (top 200; informative only)
docs/CONTRIBUTING-scripts.md,2025-09-20 08:58:23,22,,,,,
docs/DEPLOY-LOCAL-INGRESS.md,2025-09-20 08:58:23,67,,,,,
docs/LOCAL_DEV.md,2025-09-29 22:02:13,267,Prism-Apex — Local Dev (tickets-only),Prerequisites,1. Start the stack (Postgres on host **55433**),2. Verify everything is healthy,3. Stop the stack
docs/MAINTENANCE.md,2025-09-29 22:02:13,62,Maintenance — SAFE Data Cleanup,,,,
docs/OPERATIONS.md,2025-09-20 08:58:23,91,,,,,
docs/PLATFORMS/tradovate.md,2025-09-20 08:58:23,67,,,,,
docs/POST_MERGE_VERIFY.md,2025-10-01 18:53:33,75,Post-merge Verification,Git,chore/post-merge-verification...origin/Test,Cleanup (dry-run),Docker smoke
docs/README_NAV.md,2025-10-04 14:13:35,11,Documentation Index,,,,
docs/RELEASE_NOTES.md,2025-09-20 08:58:23,180,Prism Apex Tool — Release Notes,v0.1.0 (Unquarantine milestone),Highlights,Breaking / Behavioral,New Endpoints
docs/REPO_SCAN_QUESTIONS.md,2025-10-04 14:13:45,131,Follow-up Questions (Please answer in chat),,,,
docs/REPO_SCAN_REPORT.md,2025-10-04 14:13:45,17091,Repository Scan Report,Top-level Structure,Key Manifests & Tooling,Extension Stats (Top 30 by size),Large Files (>1MB)
docs/UPGRADE.md,2025-09-20 08:58:23,134,Upgrade Guide,From older snapshots to v0.1.0,or Docker:,Notes,
docs/YAHOO_DATA_CLEANUP.md,2025-10-01 18:53:33,254,Yahoo Data Cleanup (SAFE: untracked-only),Untracked candidates (preview),Tracked candidates (reported only; NOT removed),2025-10-01T14:49:40+01:00,2025-10-01T14:49:46+01:00
docs/accounts.md,2025-09-20 08:58:23,131,Accounts Registry API,Examples,,,
docs/adr/ADR-2025-09-09-docker-api-only.md,2025-09-20 08:58:23,81,,,,,
docs/adr/ADR-2025-09-09-operator-assisted-architecture.md,2025-09-20 08:58:23,208,,,,,
docs/analytics/payout_tracker.md,2025-09-20 08:58:23,38,Payout Tracker,Purpose,Rules,Usage,
docs/analytics/post_trade.md,2025-09-20 08:58:23,40,Post-Trade Analytics,Purpose,Location,Usage,
docs/apex/01_rules.md,2025-09-20 08:58:23,115,Apex Trader Funding – Proprietary Trading Rules,1. Evaluation Phase Rules,What It Does,How to Use It,Config Options
docs/apex/02_funded_rules.md,2025-09-20 08:58:23,114,Apex Trader Funding – Funded (Performance) Account Rules,1. Consistency Rules,2. Risk Management,3. Payout Rules,Visuals
docs/apex/03_funding_process.md,2025-09-20 08:58:23,118,Apex Trader Funding – Step-by-Step Process,1. Purchase Evaluation Plan,2. Platform Setup,3. Trading the Evaluation,4. Passing Evaluation
docs/apex/04_platforms.md,2025-09-20 08:58:23,1033,Apex Trader Funding – Platform Integration Guide,Rithmic + NinjaTrader,How the Connection Works,Difficulty Rating: 8/10,Pros
docs/apex/05_notifications.md,2025-09-20 08:58:23,65,Notifications Integration,Supported Channels,How to Use It,Visuals,
docs/apex/06_knowledge_base.md,2025-09-20 08:58:23,890,"Apex Trader Funding – Rules, Funding Process, and Technical Platforms",Evaluation Phase Rules,Evaluation Account Example,Funded Phase Rules,Funding Step-by-Step
docs/audit/guide.md,2025-09-20 08:58:23,111,Prism Apex Tool — Audit Trail Guide,Purpose,Log Formats,Example Entry,Retention
docs/backtest/overview.md,2025-09-20 08:58:23,236,Prism Apex Backtesting Framework,What It Does,Quick Start,Config Notes (MVP),Extend Later (Tick-Level)
docs/backtest/tick-readiness.md,2025-09-20 08:58:23,118,Tick-Level Readiness (Post-MVP),What’s Included Now,What’s Next (Not Included Yet),Usage,Tick replay (uses sample ticks)
docs/calibration/summary.md,2025-09-20 08:58:23,135,Prism Apex Tool — Risk Calibration Summary,Key Findings (Example),Metrics Recorded,Next Steps,
docs/compliance/rule-engine.md,2025-09-20 08:58:23,290,Compliance Rule Engine,Purpose,How It Works,Example,Rules Covered
docs/config.md,2025-09-20 08:58:23,230,Guardrails & Sizing (Env),TradingView Webhook,,,
docs/configs/ACCOUNTS.md,2025-09-20 08:58:23,67,accounts.json — Fields,,,,
docs/configs/README.md,2025-09-20 08:58:23,161,Configs — Accounts & Strategies,Accounts (`configs/accounts.json`),Strategies (`configs/strategies/*.json`),Validation,
docs/consistency.md,2025-09-20 08:58:23,97,Consistency Metrics,API,,,
docs/dashboard/guide.md,2025-09-20 08:58:23,126,Prism Apex Tool — Operator Dashboard Guide,What It Does,How to Use,Config Options,Visuals
docs/dashboard/overview.md,2025-09-20 08:58:23,125,Prism Apex Operator Dashboard,What It Does,How to Use,Data Sources,
